date,time,open,high,low,close,volume
2022.12.07,07:30,1.04663,1.04700,1.04621,1.04640,728
2022.12.07,07:45,1.04641,1.04681,1.04632,1.04663,631
2022.12.07,08:00,1.04666,1.04681,1.04498,1.04518,930
2022.12.07,08:15,1.04520,1.04556,1.04497,1.04511,846
2022.12.07,08:30,1.04511,1.04550,1.04477,1.04545,717
2022.12.07,08:45,1.04546,1.04570,1.04475,1.04490,841
2022.12.07,09:00,1.04488,1.04578,1.04436,1.04451,1411
2022.12.07,09:15,1.04449,1.04593,1.04433,1.04581,1503
2022.12.07,09:30,1.04580,1.04646,1.04567,1.04635,1487
2022.12.07,09:45,1.04635,1.04672,1.04580,1.04596,1392
2022.12.07,10:00,1.04597,1.04612,1.04494,1.04567,2137
2022.12.07,10:15,1.04565,1.04663,1.04530,1.04644,1653
2022.12.07,10:30,1.04643,1.04662,1.04551,1.04575,1410
2022.12.07,10:45,1.04576,1.04802,1.04563,1.04779,1954
2022.12.07,11:00,1.04778,1.04779,1.04673,1.04741,1504
2022.12.07,11:15,1.04742,1.04809,1.04735,1.04800,1228
2022.12.07,11:30,1.04799,1.04843,1.04660,1.04687,1539
2022.12.07,11:45,1.04688,1.04770,1.04659,1.04759,1323
2022.12.07,12:00,1.04760,1.04884,1.04726,1.04863,1396
2022.12.07,12:15,1.04865,1.04986,1.04861,1.04871,1509
2022.12.07,12:30,1.04870,1.05028,1.04841,1.05002,1318
2022.12.07,12:45,1.05003,1.05067,1.04960,1.04998,1382
2022.12.07,13:00,1.04997,1.05008,1.04907,1.04926,1254
2022.12.07,13:15,1.04927,1.05046,1.04909,1.05002,1385
2022.12.07,13:30,1.05001,1.05035,1.04968,1.04968,1307
2022.12.07,13:45,1.04968,1.04971,1.04892,1.04895,1076
2022.12.07,14:00,1.04894,1.04972,1.04862,1.04964,795
2022.12.07,14:15,1.04965,1.05085,1.04962,1.05060,1117
2022.12.07,14:30,1.05060,1.05218,1.05018,1.05205,1258
2022.12.07,14:45,1.05206,1.05393,1.05174,1.05365,1659
2022.12.07,15:00,1.05363,1.05413,1.05260,1.05288,2133
2022.12.07,15:15,1.05289,1.05295,1.05201,1.05237,1784
2022.12.07,15:30,1.05236,1.05336,1.05232,1.05260,2470
2022.12.07,15:45,1.05261,1.05470,1.05259,1.05423,1947
2022.12.07,16:00,1.05423,1.05497,1.05326,1.05337,1986
2022.12.07,16:15,1.05338,1.05364,1.05191,1.05219,2308
2022.12.07,16:30,1.05218,1.05314,1.05175,1.05190,2730
2022.12.07,16:45,1.05191,1.05253,1.05157,1.05172,2100
2022.12.07,17:00,1.05171,1.05291,1.04953,1.05153,3907
2022.12.07,17:15,1.05163,1.05246,1.05095,1.05239,3247
2022.12.07,17:30,1.05238,1.05255,1.05023,1.05065,3016
